Optimizer,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation ROC AUC
Adam,"[0.2957839074047742, 0.24055120961754758, 0.22338272889485758, 0.21316483644295986, 0.20688440323739013, 0.20305812700205902, 0.20051756222197206, 0.1988219446785738, 0.19776826447567913, 0.19708096375239917, 0.19661595460089595, 0.19629179416872009, 0.19594105088552285, 0.195745283996083, 0.1956227130517985, 0.19547242153336689, 0.19531117957848995]","[0.9449123035094408, 0.944901627520699, 0.9448675724680035, 0.9448420311784819, 0.9448205440619002, 0.9448247333739381, 0.9448309497724461, 0.94483000379876, 0.9448241928175461, 0.94483000379876, 0.9448421663175799, 0.9448200035055082, 0.9448271658777021, 0.9448656805206315, 0.9448737888665114, 0.9448585181484376, 0.9448850054116452]","[0.25293720724571916, 0.23025797981745838, 0.21813509420646218, 0.2110231060040462, 0.2065092031565356, 0.20341662643865013, 0.20213086660887117, 0.20168813434808022, 0.20050059694973038, 0.20100035700013172, 0.2005853500606304, 0.20041022872003592, 0.20050153102912446, 0.2010876449476586, 0.20210403497944535, 0.20192670626818265, 0.20204474509929743]","[0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.7917532447358689), np.float64(0.796220422556676), np.float64(0.7997915537427752), np.float64(0.8011075389701752), np.float64(0.8010919262403928), np.float64(0.8031573543210658), np.float64(0.80276393546869), np.float64(0.8027392538299077), np.float64(0.8040798447287913), np.float64(0.8034676397853873), np.float64(0.8048878019084634), np.float64(0.8044721770888137), np.float64(0.8047220221658692), np.float64(0.8038707303818643), np.float64(0.8022218448925513), np.float64(0.803988648751175), np.float64(0.8034583693541667)]"
SGD,"[0.465438605083168, 0.4560958956868248, 0.45298835204448906, 0.45127720749374467, 0.4499474657418055, 0.4489432031324762, 0.4480168259016402, 0.4472497657230523, 0.4465274630242124, 0.44583953876475846, 0.44527043319509835, 0.44475822098989637, 0.44429168520602524, 0.4438317497091741, 0.44326505944784855, 0.44294087505635155, 0.4425351854528969]","[0.944514318865837, 0.9449174387951647, 0.9449062222500308, 0.9448714915018454, 0.9448606803740056, 0.9448500043852637, 0.94483743644915, 0.944836895892758, 0.9448412203438938, 0.9448477070205977, 0.9448650048251415, 0.9448637885732595, 0.9448750051183933, 0.9448640588514555, 0.9448751402574913, 0.9448810863778032, 0.9448570316183597]","[0.4569476513264353, 0.45390083372792106, 0.4522309823144802, 0.45124335088214296, 0.4535780477407014, 0.45033879327584697, 0.45016755962876825, 0.45105943598159776, 0.4499418358497312, 0.45006646828239183, 0.45018079089525154, 0.44933924632758765, 0.44991738713464385, 0.44962386817135597, 0.4495281287806353, 0.44957179201926284, 0.4496132087131329]","[0.9448102809487412, 0.9448102809487412, 0.9448097403924223, 0.944812983730336, 0.9448102809487412, 0.9448102809487412, 0.944811902617698, 0.9448016320476381, 0.9448140648429738, 0.9448173081808875, 0.9448146053992927, 0.9448189298498443, 0.9448367682083694, 0.9448443359968345, 0.944822173187758, 0.9448378493210072, 0.9448627149116785]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.6190476190476191), np.float64(0.0), np.float64(0.5), np.float64(0.5483870967741935), np.float64(0.4772727272727273), np.float64(0.6), np.float64(0.5619047619047619), np.float64(0.6052631578947368), np.float64(0.5254777070063694), np.float64(0.5287896592244419), np.float64(0.5387453874538746), np.float64(0.5447154471544715), np.float64(0.5655526992287918), np.float64(0.5799011532125206)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.00012732864502732667), np.float64(0.0), np.float64(0.00010773962271543028), np.float64(0.00016650668965111952), np.float64(0.0016454778741992987), np.float64(0.00020568473427491233), np.float64(0.0005778761582009442), np.float64(0.00022527375658680876), np.float64(0.0016160943407314541), np.float64(0.0044075300201766926), np.float64(0.004289995886305314), np.float64(0.0013124644948970597), np.float64(0.0021547924543086055), np.float64(0.003447667926893769)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.00025460492170898655), np.float64(0.0), np.float64(0.0002154328241284763), np.float64(0.000332912297192766), np.float64(0.0032796486090775987), np.float64(0.0004112284961765541), np.float64(0.0011545649344931166), np.float64(0.0004503798856426725), np.float64(0.003222278639221966), np.float64(0.00874219273620919), np.float64(0.008512209579150916), np.float64(0.0026186195575705466), np.float64(0.004293227433723301), np.float64(0.006854583515895039)]","[np.float64(0.7679405064294211), np.float64(0.7810339077570586), np.float64(0.7858034834830958), np.float64(0.7893173553232375), np.float64(0.7888844127082059), np.float64(0.7921720935748224), np.float64(0.7932580495370286), np.float64(0.7930304405446257), np.float64(0.7942737375834906), np.float64(0.7936742160464122), np.float64(0.794205119897807), np.float64(0.7947830073559791), np.float64(0.7954335851601312), np.float64(0.795966617205423), np.float64(0.7952876269256153), np.float64(0.7951542524990936), np.float64(0.7945570372012029)]"
RMSprop,"[0.27327278852715453, 0.22778138679876828, 0.2210722528790689, 0.21856729565008134, 0.21789451325408232, 0.21821641107716153, 0.21833881073003983, 0.21890860275792562, 0.21928459547055845]","[0.9448544639754977, 0.9449123035094408, 0.9449118980921467, 0.9449136549004207, 0.9449106818402647, 0.9449158171259887, 0.9449170333778707, 0.9449182496297527, 0.9449116278139508]","[0.23515789701538942, 0.2223771349101194, 0.21835388709737566, 0.2171693356595187, 0.21746779056253132, 0.2176298967908193, 0.21862168533846524, 0.21881522508369738, 0.21888392085950878]","[0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.7831942407387394), np.float64(0.7919514533555215), np.float64(0.7954914606501071), np.float64(0.7982997496017025), np.float64(0.7966252172072754), np.float64(0.797733357593121), np.float64(0.7955597825219948), np.float64(0.7986267189927116), np.float64(0.7992282164808845)]"
