Optimizer,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation ROC AUC
Adam,"[0.29490298170135637, 0.23983370427303027, 0.2229530164533534, 0.21317607970324795, 0.20696305552244287, 0.2028558209482577, 0.20022589621009468, 0.1986076832267635, 0.19743014522594798, 0.19673265967015796, 0.19606034556666824, 0.1956504698610665, 0.19530050375506322, 0.19504051578025805, 0.19478044039254305, 0.19456957171133857]","[0.9449104115620688, 0.9448770322048633, 0.9448297335205641, 0.9448006786144945, 0.94482932810327, 0.9448014894490825, 0.9448143276633922, 0.9448195980882143, 0.9448225711483702, 0.944835679640876, 0.9448521666108317, 0.9448383824228359, 0.9448779781785492, 0.9448381121446399, 0.9449216281072026, 0.944896762513171]","[0.25233162163835837, 0.22976118630205472, 0.2178207934247813, 0.21089041478835976, 0.20650555946175536, 0.20351733212511294, 0.20194445062429772, 0.20099078535710724, 0.20036715272001404, 0.19971122450515907, 0.19962674531570573, 0.1996441756184747, 0.1999328678234714, 0.19975007790075636, 0.20019995538095556, 0.2006807483417326]","[0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.5), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(5.876706693568924e-05), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.00011752032122221135), np.float64(0.0), np.float64(0.0)]","[np.float64(0.7939144872629482), np.float64(0.7997662005500498), np.float64(0.8024102909452507), np.float64(0.8021506727689854), np.float64(0.803446494213782), np.float64(0.8043032105890815), np.float64(0.8034146337115365), np.float64(0.8043176884549009), np.float64(0.8036177194048449), np.float64(0.8051209993823677), np.float64(0.804903884019933), np.float64(0.80548685384811), np.float64(0.8052233406477654), np.float64(0.8058672754895102), np.float64(0.8054050293962476), np.float64(0.805022378393568)]"
SGD,"[0.4642243380899558, 0.45549365911785594, 0.4524179578264642, 0.4507638257979845, 0.44955813309408565, 0.4486374108653557, 0.4479089322072925, 0.4472487726898172, 0.44671197475207797, 0.446213268505183, 0.445793392130642, 0.44541943926718647, 0.44500624769778474, 0.44474306521596063, 0.44440374221896517, 0.44416653328111877, 0.44387378771185604, 0.44363953529152683, 0.4433519298433754, 0.44317957593751506, 0.44294580389207616, 0.44277544187969015, 0.44255554320843693, 0.44237294349633643]","[0.9446071594261616, 0.9449177090733607, 0.944901086964307, 0.9448854108289392, 0.9448631128777695, 0.9448589235657315, 0.9448879784718012, 0.9448551396709877, 0.9448585181484376, 0.9448544639754977, 0.9448441934040498, 0.9448635182950635, 0.9448828431860772, 0.9448733834492173, 0.9448593289830256, 0.9448787890131373, 0.9448829783251752, 0.9448735185883154, 0.9448890595845851, 0.9449198712989286, 0.9448894650018791, 0.9448879784718012, 0.9449129792049308, 0.9449050059981489]","[0.4564903914246217, 0.4527504151549047, 0.4522525167417087, 0.45055847260433396, 0.44967591565513015, 0.44922159895893915, 0.44908162550331343, 0.4484916114234766, 0.4485538488267469, 0.44823128239980614, 0.4479680245457688, 0.4478371182748617, 0.447858249575766, 0.4479730667593277, 0.44864482157443847, 0.4475573485162663, 0.44747021801871445, 0.44747255294936555, 0.4472197029763312, 0.4473747588741451, 0.4473033191854821, 0.4474465766904722, 0.4482245588813281, 0.447445078324507]","[0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448097403924223, 0.9448075781671466, 0.9448113620613791, 0.9448313626451799, 0.9448086592797844, 0.9448064970545086, 0.9448264976383094, 0.9448248759693526, 0.9448335248704557, 0.9448151459556117, 0.9448275787509474, 0.9448297409762231, 0.9448410926589208, 0.9448346059830935, 0.9448194704061632, 0.9448270381946284, 0.9448227137440769, 0.9448362276520503, 0.9448281193072663, 0.9448519037852997]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.42857142857142855), np.float64(0.5147058823529411), np.float64(0.5400410677618069), np.float64(0.4810126582278481), np.float64(0.4882154882154882), np.float64(0.5324675324675324), np.float64(0.536), np.float64(0.5339652448657188), np.float64(0.5142857142857142), np.float64(0.5379146919431279), np.float64(0.5324909747292419), np.float64(0.5387755102040817), np.float64(0.5619834710743802), np.float64(0.5169660678642715), np.float64(0.521497919556172), np.float64(0.5166908563134979), np.float64(0.5241935483870968), np.float64(0.544), np.float64(0.5777777777777777)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0001469176673392231), np.float64(0.0003428078904581872), np.float64(0.002575956434014378), np.float64(0.0003721914239260318), np.float64(0.00142020411761249), np.float64(0.0024094497443632587), np.float64(0.0019686967423455893), np.float64(0.003310544770710494), np.float64(0.0015867108072636095), np.float64(0.002223354032400243), np.float64(0.002889380791004721), np.float64(0.00387862641775549), np.float64(0.0019980802758134343), np.float64(0.0025367783893905857), np.float64(0.003682736194636526), np.float64(0.0034868459715175614), np.float64(0.005093145801093067), np.float64(0.0019980802758134343), np.float64(0.002801230190601187)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0002937346401261101), np.float64(0.0006851594463911673), np.float64(0.005127455280986499), np.float64(0.0007438073147577243), np.float64(0.0028321695395282973), np.float64(0.004797191887675507), np.float64(0.003922984591063012), np.float64(0.006580292219485842), np.float64(0.003163660863366955), np.float64(0.004428404213811939), np.float64(0.005747574328800218), np.float64(0.0077018077854385265), np.float64(0.003982002908423693), np.float64(0.005048782151872825), np.float64(0.0073138233205924975), np.float64(0.006926946014573827), np.float64(0.01008827238335435), np.float64(0.0039815365998848475), np.float64(0.005575429122844639)]","[np.float64(0.7614529974206136), np.float64(0.7771584591276323), np.float64(0.7802331658008115), np.float64(0.7850859086719195), np.float64(0.7877652083982932), np.float64(0.789533000268888), np.float64(0.7895485481744381), np.float64(0.7913796545671788), np.float64(0.791743490221511), np.float64(0.7920597366068701), np.float64(0.7934886381185664), np.float64(0.7933632885627354), np.float64(0.793288903179074), np.float64(0.7934325507530396), np.float64(0.7931392169768068), np.float64(0.7943384980256085), np.float64(0.7950418060503887), np.float64(0.7947448677655229), np.float64(0.7950906949393111), np.float64(0.7949649842299064), np.float64(0.7946468333749462), np.float64(0.7953156479650075), np.float64(0.7939662573166613), np.float64(0.7939123645383157)]"
RMSprop,"[0.2754356218435839, 0.22994127800721567, 0.22166693965398163, 0.21884043530075983, 0.21776549330739498, 0.217723604434982, 0.21814887125416865, 0.21836436282013105, 0.2188486611570343, 0.21923302861819577]","[0.9449168982387727, 0.9449104115620688, 0.9449087898928928, 0.9449098710056768, 0.9449177090733607, 0.9449156819868907, 0.9449164928214787, 0.9449097358665788, 0.9449156819868907, 0.9449197361598306]","[0.23695677234022744, 0.22371744274736857, 0.21878264733119565, 0.21717289771937603, 0.21632912268286106, 0.2172158463792498, 0.2178159293755599, 0.21783095843206288, 0.21900492766310167, 0.2187720022362103]","[0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.7865342665958789), np.float64(0.7900541906226064), np.float64(0.7947663689569948), np.float64(0.7965261194986717), np.float64(0.7983741568400065), np.float64(0.7967398903470708), np.float64(0.7963764539406363), np.float64(0.7982566618595679), np.float64(0.7978927794419045), np.float64(0.7994499410659145)]"
