Optimizer,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation ROC AUC
Adam,"[0.33548636836224677, 0.2564396405705629, 0.23119117492283348, 0.21670239490154808, 0.2080722238002748, 0.20272532749382785, 0.19960709855094094, 0.1976007486737638, 0.19640135631079908, 0.19570013316442197, 0.19532222831830148, 0.19494582357892987, 0.19479921587140073, 0.1946636297308081, 0.1944437495639749]","[0.9449071682237168, 0.9448859513853312, 0.9448450042386378, 0.944831625467936, 0.9448256793476241, 0.9448206792009982, 0.9448067598739044, 0.9448443285431478, 0.94483270658072, 0.944832436302524, 0.9448409500656979, 0.9448216251746842, 0.9448573018965556, 0.9448447339604418, 0.9448570316183597]","[0.27476761493279417, 0.24134066983337527, 0.22298895841070857, 0.21220778592926479, 0.20545429323576625, 0.20202071639027303, 0.1999758340316742, 0.1989087161236748, 0.19777458003807147, 0.1974792676934938, 0.19821827562011776, 0.19848017534416326, 0.19837069925909928, 0.1989360453802892, 0.19992222336917412]","[0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.7933041092471919), np.float64(0.7979365098842504), np.float64(0.8001979893576264), np.float64(0.8016713044009405), np.float64(0.8029575675132217), np.float64(0.8021336246066583), np.float64(0.8030820715689645), np.float64(0.8036877356867934), np.float64(0.8058672188383534), np.float64(0.8059915048408), np.float64(0.804880687703922), np.float64(0.8051381049047261), np.float64(0.8058231576063773), np.float64(0.8046662035395988), np.float64(0.8046162260597165)]"
SGD,"[0.572146652349548, 0.5613298995243603, 0.5579492397440926, 0.5561236947064037, 0.5548468926002658, 0.5538602685998432, 0.5530313500296336, 0.5523565053923934, 0.5517346800622486, 0.5512123550660158, 0.55073948287745, 0.5503262044673015, 0.5499410188769459, 0.5496182591928315, 0.5493085309105676, 0.5489388181132685]","[0.9449175739342627, 0.9449140603177147, 0.9448970327913669, 0.9448897352800751, 0.9448654102424355, 0.9448487881333818, 0.9448831134642732, 0.9448786538740392, 0.9448825729078812, 0.9448844648552532, 0.9448779781785492, 0.9448682481634935, 0.9448748699792954, 0.9449040600244629, 0.9448879784718012, 0.9449285202012004]","[0.5629420188647245, 0.5587306338802751, 0.557291621854737, 0.5568056919067489, 0.5569481632168324, 0.5558702797769404, 0.5558451770547368, 0.5555562990095663, 0.5557318792196188, 0.5552157745831318, 0.5551825507607, 0.555489588001657, 0.5556770077809782, 0.5553684289677397, 0.556829685141098, 0.5554229144914479]","[0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448081187234655, 0.9448183892935254, 0.9448200109624821, 0.9448183892935254, 0.9448232543003958, 0.9448270381946284, 0.9448324437578178, 0.9448270381946284, 0.9448410926589208, 0.9448616337990406, 0.9448589310174459, 0.9448475793347482, 0.944867579918549]","[np.float64(0.0), np.float64(0.0), np.float64(0.5), np.float64(0.35714285714285715), np.float64(0.5773195876288659), np.float64(0.575), np.float64(0.5547445255474452), np.float64(0.5408163265306123), np.float64(0.5987261146496815), np.float64(0.5469107551487414), np.float64(0.5727699530516432), np.float64(0.5511669658886894), np.float64(0.5452812202097236), np.float64(0.5544794188861986), np.float64(0.5135135135135135), np.float64(0.5652709359605911)]","[np.float64(0.0), np.float64(0.0), np.float64(1.9589022311896412e-05), np.float64(4.8972555779741034e-05), np.float64(0.0005484926247330996), np.float64(0.0006758212697604263), np.float64(0.0007443828478520637), np.float64(0.0015573272737957648), np.float64(0.0009206840486591315), np.float64(0.002340888166271621), np.float64(0.0011949303610256812), np.float64(0.0030069149248760996), np.float64(0.005602460381202374), np.float64(0.004485886109424278), np.float64(0.012840604125448098), np.float64(0.004495680620580227)]","[np.float64(0.0), np.float64(0.0), np.float64(3.9176509764745056e-05), np.float64(9.793168285803823e-05), np.float64(0.0010959440285728264), np.float64(0.0013500557631728268), np.float64(0.001486770675404705), np.float64(0.0031057113837018517), np.float64(0.0018385409026453474), np.float64(0.004661822792217291), np.float64(0.0023848853007008043), np.float64(0.005981199162242463), np.float64(0.011090967260317799), np.float64(0.008899770704597567), np.float64(0.025054705640653218), np.float64(0.008920415897386066)]","[np.float64(0.7685490484646644), np.float64(0.7835870492525863), np.float64(0.7891887107373253), np.float64(0.7907202564702006), np.float64(0.792512977189209), np.float64(0.7936408746147389), np.float64(0.7940082283397901), np.float64(0.7949231477024902), np.float64(0.7954234707614496), np.float64(0.7954687438053436), np.float64(0.7958292435025726), np.float64(0.7950656100935791), np.float64(0.7954221980367195), np.float64(0.7958472631485971), np.float64(0.7958730852382855), np.float64(0.7956983435091295)]"
RMSprop,"[0.3048775245515358, 0.23633316940119886, 0.2238936262401461, 0.2196154658562497, 0.2185965371500042, 0.21849731911801296, 0.21768861098889858, 0.21772434913858907, 0.21807766893901917, 0.21812565435491996, 0.21854570319156086, 0.21931442290738082]","[0.9449167630996747, 0.9449175739342627, 0.9449175739342627, 0.9449175739342627, 0.9449175739342627, 0.9449175739342627, 0.9449175739342627, 0.9449175739342627, 0.9449175739342627, 0.9449175739342627, 0.9449175739342627, 0.9449175739342627]","[0.24787208703715763, 0.22674521871054845, 0.22013589517683557, 0.21793865531249065, 0.21927052359254245, 0.2171373539352606, 0.21703924346290648, 0.21814345932992898, 0.21759919049496584, 0.21947753454708502, 0.21805437071616493, 0.2194561103441603]","[0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412, 0.9448102809487412]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(0.7864526388722248), np.float64(0.7908938193739393), np.float64(0.7929622805624046), np.float64(0.7937739192238816), np.float64(0.7931087972054561), np.float64(0.7965965802620242), np.float64(0.795158333576229), np.float64(0.7958275531468286), np.float64(0.7966168669966055), np.float64(0.7950105374839422), np.float64(0.7967035821168327), np.float64(0.7968877553431234)]"
